dataset,no_of_spikes,pearson_ADM_PEDM,pearson_ADM_FEDM,pearson_PEDM_FEDM,spearman_ADM_PEDM,spearman_ADM_FEDM,spearman_PEDM_FEDM,method
sample_100_dim_1200,14,0.9561555824,0.9424760072,0.992716232,0.4010738908,0.4853909255,0.9554494477,random with centroids
sample_100_dim_1200,14,0.9632731008,0.9425148163,0.9908499297,0.789834433,0.8943314443,0.9281853092,random with centroids
sample_100_dim_1200,16,0.9185095987,0.9042130647,0.9331335961,0.4791921213,0.3901223905,0.6663111486,random with centroids
sample_100_dim_1200,16,0.9223904283,0.9123289228,0.9963516752,0.5338372972,0.4768351634,0.9756029353,random with centroids
sample_100_dim_1200,16,0.8897790889,0.8067416862,0.9589288034,0.6871742656,0.644847488,0.9639056939,random with centroids
sample_100_dim_1200,16,0.8114957297,0.8060083692,0.9954103807,0.7644851218,0.8405405341,0.9781718003,random with centroids
sample_100_dim_1200,16,0.8103779145,0.7963814445,0.9919233814,0.2382965769,0.2766971878,0.9930608665,random with centroids
sample_100_dim_1200,16,0.8758797325,0.8583438394,0.9878213695,0.7993665463,0.7461893021,0.9243029141,random with centroids
sample_100_dim_1200,16,0.9110232682,0.9117100155,0.9986040034,0.5581984844,0.5851635482,0.9815120473,random with centroids
sample_100_dim_1200,16,0.9203897998,0.9188963093,0.9984111985,0.621202008,0.6280318083,0.9973719248,random with centroids
sample_100_dim_1200,16,0.8121692724,0.8115975573,0.9945153465,0.6603502166,0.681281694,0.9946341052,random with centroids
sample_100_dim_1200,16,0.8905547341,0.8761973381,0.9888643995,0.4764395995,0.5500295438,0.9674769554,random with centroids
sample_100_dim_1200,16,0.8518421601,0.8041690144,0.9820155158,0.3050954359,0.3598107648,0.9638735886,random with centroids
sample_100_dim_1200,16,0.8862895214,0.8771395848,0.9936317623,0.8649088605,0.7784836172,0.9626830235,random with centroids
sample_100_dim_1200,16,0.9674763245,0.9648653102,0.9996569415,0.8741978187,0.8719149814,0.9958270201,random with centroids
sample_100_dim_1200,16,0.8666136506,0.8219549354,0.9721849484,0.630418241,0.6720106325,0.9596617562,random with centroids
sample_100_dim_1200,16,0.8994069131,0.865887936,0.9879078408,0.4646613204,0.3867188088,0.9605962559,random with centroids
sample_100_dim_1200,18,0.8951889821,0.881042158,0.9893326108,0.3800382888,0.4557154313,0.9658144679,random with centroids
sample_100_dim_1200,18,0.898468563,0.8860395207,0.9939299527,0.7019554774,0.7572516468,0.9868476157,random with centroids
sample_100_dim_1200,18,0.9623058092,0.9515828191,0.9945614205,0.5179748742,0.4454660489,0.9671803325,random with centroids
sample_100_dim_1200,18,0.988377749,0.9699903405,0.9930925918,0.5414190705,0.5626298598,0.9830029712,random with centroids
sample_100_dim_1200,18,0.8403901704,0.8341118113,0.9974303618,0.758728937,0.7513863045,0.9978691128,random with centroids
