FileName,Content
FEDM_PEDM_using_N_centroids_12points_iter9.txt,"Shape of Generated Spikes (24, 48708)
Pearson correlation between true and predicted global matrices: 0.7318159594372793
Pearson correlation between true and federated global matrices: 0.7458487201519988
Pearson correlation between federated and predicted global matrices: 0.9606016089037754
Spearman correlation between true and predicted global matrices: 0.6902325597648938
Spearman correlation between true and federated global matrices: 0.7130240170205667
Spearman correlation between federated and predicted global matrices: 0.9669250354564803"
FEDM_PEDM_using_N_centroids_13points_iter1.txt,"Shape of Generated Spikes (26, 48708)
Pearson correlation between true and predicted global matrices: 0.7263046585169615
Pearson correlation between true and federated global matrices: 0.7462962539776001
Pearson correlation between federated and predicted global matrices: 0.9736384513792333
Spearman correlation between true and predicted global matrices: 0.703912103397331
Spearman correlation between true and federated global matrices: 0.7227274137894195
Spearman correlation between federated and predicted global matrices: 0.9766925827571071"
FEDM_PEDM_using_N_centroids_13points_iter10.txt,"Shape of Generated Spikes (26, 48708)
Pearson correlation between true and predicted global matrices: 0.7286813194643719
Pearson correlation between true and federated global matrices: 0.747452003473296
Pearson correlation between federated and predicted global matrices: 0.9685719164294752
Spearman correlation between true and predicted global matrices: 0.7061360948880419
Spearman correlation between true and federated global matrices: 0.7253225882120643
Spearman correlation between federated and predicted global matrices: 0.9699106122999049"
FEDM_PEDM_using_N_centroids_13points_iter11.txt,"Shape of Generated Spikes (26, 48708)
Pearson correlation between true and predicted global matrices: 0.736312643383077
Pearson correlation between true and federated global matrices: 0.7514195712876107
Pearson correlation between federated and predicted global matrices: 0.9671534468742236
Spearman correlation between true and predicted global matrices: 0.7094022291656098
Spearman correlation between true and federated global matrices: 0.7232796820505035
Spearman correlation between federated and predicted global matrices: 0.9718093146832879"
FEDM_PEDM_using_N_centroids_13points_iter12.txt,"Shape of Generated Spikes (26, 48708)
Pearson correlation between true and predicted global matrices: 0.7173420185137925
Pearson correlation between true and federated global matrices: 0.7389687674950556
Pearson correlation between federated and predicted global matrices: 0.9664362436870853
Spearman correlation between true and predicted global matrices: 0.6865023233241632
Spearman correlation between true and federated global matrices: 0.7124502874647967
Spearman correlation between federated and predicted global matrices: 0.9717616590327888"
FEDM_PEDM_using_N_centroids_13points_iter13.txt,"Shape of Generated Spikes (26, 48708)
Pearson correlation between true and predicted global matrices: 0.7407049660924595
Pearson correlation between true and federated global matrices: 0.7592296123872632
Pearson correlation between federated and predicted global matrices: 0.9670227911565806
Spearman correlation between true and predicted global matrices: 0.7179435891760412
Spearman correlation between true and federated global matrices: 0.7335746130958738
Spearman correlation between federated and predicted global matrices: 0.9776351973597842"
FEDM_PEDM_using_N_centroids_13points_iter14.txt,"Shape of Generated Spikes (26, 48708)
Pearson correlation between true and predicted global matrices: 0.7378161377238001
Pearson correlation between true and federated global matrices: 0.7545839975219801
Pearson correlation between federated and predicted global matrices: 0.9644788041121943
Spearman correlation between true and predicted global matrices: 0.7106431898421354
Spearman correlation between true and federated global matrices: 0.7322591702349718
Spearman correlation between federated and predicted global matrices: 0.9682374268061603"
FEDM_PEDM_using_N_centroids_13points_iter15.txt,"Shape of Generated Spikes (26, 48708)
Pearson correlation between true and predicted global matrices: 0.7358888387444884
Pearson correlation between true and federated global matrices: 0.7451938198242477
Pearson correlation between federated and predicted global matrices: 0.9773501108555501
Spearman correlation between true and predicted global matrices: 0.7197496553873837
Spearman correlation between true and federated global matrices: 0.7292887810925032
Spearman correlation between federated and predicted global matrices: 0.9708338944798547"
FEDM_PEDM_using_N_centroids_13points_iter2.txt,"Shape of Generated Spikes (26, 48708)
Pearson correlation between true and predicted global matrices: 0.7297629608044959
Pearson correlation between true and federated global matrices: 0.7462326803512959
Pearson correlation between federated and predicted global matrices: 0.9724160943664577
Spearman correlation between true and predicted global matrices: 0.7076325824108123
Spearman correlation between true and federated global matrices: 0.7190493627371066
Spearman correlation between federated and predicted global matrices: 0.9749330392439529"
FEDM_PEDM_using_N_centroids_13points_iter3.txt,"Shape of Generated Spikes (26, 48708)
Pearson correlation between true and predicted global matrices: 0.734711158943426
Pearson correlation between true and federated global matrices: 0.7527522117369059
Pearson correlation between federated and predicted global matrices: 0.9616202003860245
Spearman correlation between true and predicted global matrices: 0.7075644974924269
Spearman correlation between true and federated global matrices: 0.7262521669555496
Spearman correlation between federated and predicted global matrices: 0.9696632052444504"
